Brand_names,Display_tech,Prices,sound,os,screen_size,Manufacture,Warenty
Mi,LED,"₹12,999",20,Android TV,32,2022,1
Samsung,LED,"₹37,990",20,Tizen TV,50,2024,2
Samsung,LED,"₹37,990",20,Tizen TV,55,2025,2
Blaupunkt,QLED,"₹25,499",50,Google TV,50,2025,1
TCL,QLED,"₹64,990",30,Google TV,75,2025,2
Blaupunkt,QLED,"₹21,999",48,OS TV,50,2025,1
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
Kenstar,LED,"₹16,999",24,Tizen TV,43,2025,1
KODAK,QLED,"₹18,439",40,Google TV,43,2024,1
BESTON,QLED,"₹8,700",30,Google TV,32,2025,2
Samsung,LED,"₹57,990",20,Tizen TV,65,2025,2
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
XIAOMI,LED,"₹29,999",30,Google TV,50,2025,Enjoy
Samsung,QLED,"₹33,990",20,Tizen TV,43,2025,2
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
LG,LED,"₹36,590",20,AI TV,50,2025,Warranty
Acer,LED,"₹9,999",30,Google TV,32,2025,1
XIAOMI,LED,"₹33,999",30,Google TV,55,2024,Enjoy
KODAK,LED,"₹9,499",30,Android TV,32,2023,1
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
Hisense,LED,"₹41,999",24,Google TV,65,2024,1
TCL,Mini LED,"₹41,990",40,Google TV,55,2025,2
Samsung,LED,"₹37,990",20,Tizen TV,55,2025,2
Blaupunkt,QLED,"₹25,499",50,Google TV,50,2025,1
Samsung,LED,"₹37,990",20,Tizen TV,50,2024,2
SONY,LED,"₹32,990",20,Google TV,43,2023,1
Hisense,LED,"₹15,430",20,VIDAA TV,40,2025,1
TCL,Mini LED,"₹1,69,990",60,Google TV,75,2025,2
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
Haier,LED,"₹24,990",20,Google TV,43,2025,1
realme,QLED,"₹19,799",40,Google TV,43,2024,12
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
Vu,LED,"₹22,199",24,Google TV,43,2024,1
Infinix,LED,"₹8,999",16,Linux TV,32,2024,1
Blaupunkt,QLED,"₹17,499",50,Google TV,43,2023,1
realme,QLED,"₹26,699",30,Google TV,50,2024,12
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
XIAOMI,LED,"₹12,999",20,Android TV,32,2019,1
TCL,QLED,"₹25,990",30,Google TV,43,2025,2
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
TOSHIBA,QLED,"₹1,28,999",36,Google TV,85,2024,2
TCL,QLED,"₹67,999",35,Google TV,75,2025,2
TOSHIBA,QLED,"₹34,200",49,Google TV,55,2022,2
Samsung,LED,"₹58,990",20,Tizen TV,65,2024,2
Samsung,LED,"₹37,990",20,Tizen TV,55,2025,2
Blaupunkt,QLED,"₹25,499",50,Google TV,50,2025,1
KODAK,QLED,"₹26,499",40,Google TV,55,2022,1
SONY,LED,"₹36,860",20,Google TV,43,2024,1
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
Acer,LED,"₹18,999",30,Google TV,43,2025,1
ONIDA,LED,"₹27,647",24,Google TV,55,2023,1
Acer,QLED,"₹23,999",30,Google TV,43,2025,1
Blaupunkt,LED,"₹6,299",24,Linux TV,24,2025,1
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
Acer,LED,"₹23,999",36,Google TV,50,2024,1
KODAK,QLED,"₹64,999",70,Google TV,75,2025,1
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
TCL,Mini LED,"₹72,990",60,Google TV,55,2025,2
Hisense,QLED,"₹25,499",24,Google TV,43,2023,2
TCL,QLED,"₹25,490",30,Google TV,43,2024,2
Blaupunkt,QLED,"₹32,999",80,Google TV,55,2025,1
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
Vu,LED,"₹27,699",24,Google TV,50,2024,1
TOSHIBA,QLED,"₹45,999",24,VIDAA TV,65,2024,1
Samsung,LED,"₹37,990",20,Tizen TV,55,2025,2
Blaupunkt,QLED,"₹25,499",50,Google TV,50,2025,1
KODAK,QLED,"₹43,999",70,Google TV,65,2025,1
Blaupunkt,QLED,"₹27,599",60,Google TV,55,2022,1
TCL,Mini LED,"₹62,990",40,Google TV,65,2025,2
Acer,QLED,"₹77,999",60,Google TV,65,2024,1
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
acerpure,LED,"₹29,499",24,Swift TV,2024,2024,1
SONY,LED,"₹2,46,990",20,Google TV,85,2024,1
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
Daiwa,LED,"₹7,999",20,Linux TV,32,2024,1
LG,QNED,"₹96,990",20,AI TV,65,2025,Warranty
KODAK,LED,"₹13,499",30,Android TV,40,2024,1
Coocaa,LED,"₹22,999",30,Google TV,55,2024,1
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
iFFALCON,LED,"₹32,499",24,Google TV,55,2025,1
OnePlus,LED,"₹9,989",20,Android TV,32,2020,1
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
Samsung,LED,"₹36,990",20,Tizen TV,50,2025,2
Thomson,QLED,"₹43,999",70,Google TV,65,2025,1
iFFALCON,LED,"₹25,999",24,Google TV,55,2024,1
Acer,LED,"₹27,999",36,Google TV,55,2025,1
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
SONY,LED,"₹93,490",20,Google TV,65,2024,1
TOSHIBA,QLED,"₹64,999",49,Google TV,65,2022,2
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
Hisense,QLED,"₹22,999",14,VIDAA TV,43,2025,1
LG,LED,"₹39,990",20,WebOS TV,55,2023,1
iFFALCON,LED,"₹43,499",24,Google TV,65,2025,1
Infinix,QLED,"₹32,999",36,Android TV,55,2022,1
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
Hisense,QLED,"₹38,700",24,VIDAA TV,55,2022,2
TCL,Mini LED,"₹1,39,990",60,Google TV,75,2025,2
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
Hisense,Mini LED,"₹49,999",49,VIDAA TV,55,2025,2
BESTON,LED,"₹7,200",24,Coolita TV,32,2025,2
Blaupunkt,Mini LED,"₹89,999",108,Google TV,75,2025,1
MOTOROLA,Mini LED,"₹36,499",20,Google TV,50,2024,12
Samsung,LED,"₹37,990",20,Tizen TV,55,2025,2
Blaupunkt,QLED,"₹25,499",50,Google TV,50,2025,1
Hisense,QLED,"₹33,999",48,VIDAA TV,55,2025,1
TOSHIBA,QLED,"₹32,999",24,VIDAA TV,55,2025,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
TCL,LED,"₹63,990",30,Google TV,75,2025,2
Thomson,Mini LED,"₹57,999",108,Google TV,65,2025,1
MOTOROLA,QLED,"₹9,999",20,Google TV,32,2025,12
TCL,QLED,"₹38,990",35,Google TV,55,2025,2
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
TCL,QLED,"₹19,190",24,Google TV,43,2025,2
Hisense,QLED,"₹66,699",24,Fire TV,65,2022,2
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
Vu,LED,"₹39,700",20,Smart TV,55,2015,1
Samsung,LED,"₹10,989",20,SMART TV,32,2020,2
LG,LED,"₹36,775",20,WebOS TV,43,2022,1
Hisense,LED,"₹31,999",24,Google TV,55,2023,2
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
XIAOMI,LED,"₹22,999",30,Google TV,43,2023,1
XElectron,LED,"₹16,999",24,Android TV,43,2022,2
Samsung,LED,"₹37,990",20,Tizen TV,55,2025,2
Samsung,LED,"₹25,490",20,Tizen TV,43,2025,2
Sansui,QLED,"₹36,866",30,Google TV,55,2022,1
Metz,QLED,"₹23,990",30,Google TV,43,2025,2
Acer,LED,"₹18,999",30,Google TV,43,2024,1
Lloyd,LED,"₹11,999",20,Android TV,32,2021,1
Foxsky,LED,"₹11,499",30,Android TV,43,2023,1
Samsung,LED,"₹12,990",20,Tizen TV,32,2025,2
Hisense,QLED,"₹24,999",48,VIDAA TV,43,2025,1
Samsung,LED,"₹64,499",20,Tizen TV,65,2023,1
Foxsky,QLED,"₹24,999",30,Google TV,55,2024,1
Foxsky,QLED,"₹15,699",30,Google TV,43,2024,1
ONIDA,QLED,"₹32,256",20,Google TV,50,2024,1
XIAOMI,LED,"₹13,049",20,Google TV,32,2023,1
Hisense,QLED,"₹30,999",24,VIDAA TV,55,2023,2
TCL,QLED,"₹89,990",20,Google TV,65,2025,2
Samsung,LED,"₹26,490",20,Tizen TV,43,2025,2
Hisense,QLED,"₹17,999",30,Google TV,43,2025,1
VOIR,QLED,"₹8,499",24,QLED TV,32,2025,1
Acer,LED,"₹11,499",24,Google TV,32,2024,2
Samsung,LED,"₹21,990",20,Tizen TV,43,2025,2
Foxsky,LED,"₹24,499",30,Android TV,55,2023,1
BPL,LED,"₹10,999",20,WebOS TV,32,2025,2
Blaupunkt,Mini LED,"₹58,999",108,Google TV,65,2025,1
Panasonic,LED,"₹41,490",20,Google TV,55,2023,1
Blaupunkt,QLED,"₹22,999",60,Google TV,50,2022,1
Samsung,LED,"₹37,990",20,Tizen TV,55,2025,2
Blaupunkt,QLED,"₹25,499",50,Google TV,50,2025,1
acerpure,QLED,"₹40,999",50,Hz GTV,65,2025,1
OnePlus,QLED,"₹29,990",50,Android TV,55,2019,1
